Folder,Islet,Glucose,Capillaries,Avg_Total_Oxygen,Avg_Medium_Oxygen,Num_Cells,Num_Alpha,Num_Beta,Num_Delta,Avg_Cell_Oxygen,Avg_Alpha_Oxygen,Avg_Beta_Oxygen,Avg_Delta_Oxygen,Functional_Prop,Hypoxic_Prop,Non_Viable_Prop,Functional_Alpha_Prop,Hypoxic_Alpha_Prop,Non_Viable_Alpha_Prop,Functional_Beta_Prop,Hypoxic_Beta_Prop,Non_Viable_Beta_Prop,Functional_Delta_Prop,Hypoxic_Delta_Prop,Non_Viable_Delta_Prop
H55_200_capilares_G20_Rep_1,H55,G20,200,27.7415,27.9858,2084,1168,642,274,19.518074376199607,17.415720376712322,22.10732943925234,22.413139051094895,0.8891554702495201,0.11084452975047984,0.0,0.833904109589041,0.1660958904109589,0.0,0.956386292834891,0.04361370716510903,0.0,0.9671532846715328,0.032846715328467155,0.0
H56_5_capilares_G20_Rep_1,H56,G20,5,7.1825,7.4731,2841,1355,830,656,0.6270984512495583,0.4364158671586707,0.7858651807228897,0.8200839939024399,0.018655403027103133,0.10946849700809574,0.8718760999648011,0.010332103321033211,0.10627306273062731,0.8833948339483395,0.02650602409638554,0.09759036144578313,0.8759036144578313,0.025914634146341462,0.13109756097560976,0.8429878048780488
H51_50_capilares_G6_Rep_1,H51,G6,50,26.1501,26.3939,583,316,148,119,14.829367409948544,13.714544936708865,16.21481824324325,16.06665462184874,0.6449399656946827,0.3259005145797599,0.029159519725557463,0.5981012658227848,0.35443037974683544,0.04746835443037975,0.7027027027027027,0.2905405405405405,0.006756756756756757,0.6974789915966386,0.29411764705882354,0.008403361344537815
H54_300_capilares_G6_Rep_1,H54,G6,300,28.821,28.9475,3516,2209,961,346,24.098894567690547,23.508885966500728,24.918610509885497,25.58901589595376,0.9908987485779295,0.009101251422070534,0.0,0.990493435943866,0.009506564056133997,0.0,0.9906347554630593,0.009365244536940686,0.0,0.9942196531791907,0.005780346820809248,0.0
H55_5_capilares_G20_Rep_1,H55,G20,5,8.8711,9.2349,2084,1168,642,274,0.6373172264875228,0.5246996575342469,0.8437350467289713,0.6337299270072992,0.014395393474088292,0.2034548944337812,0.7821497120921305,0.010273972602739725,0.18664383561643835,0.803082191780822,0.018691588785046728,0.2507788161993769,0.7305295950155763,0.021897810218978103,0.16423357664233576,0.8138686131386861
H51_300_capilares_G20_Rep_1,H51,G20,300,29.5644,29.6406,583,316,148,119,25.679948542024043,24.157687658227832,27.729079729729737,27.17375546218486,0.9965694682675815,0.003430531732418525,0.0,0.9936708860759493,0.006329113924050633,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H55_200_capilares_G6_Rep_1,H55,G6,200,28.9834,29.0893,2084,1168,642,274,25.306630806142003,24.766684417808204,25.799693457943928,26.453021897810235,0.9985604606525912,0.0014395393474088292,0.0,0.9982876712328768,0.0017123287671232876,0.0,0.9984423676012462,0.001557632398753894,0.0,1.0,0.0,0.0
H53_300_capilares_G6_Rep_1,H53,G6,300,29.0664,29.1656,3222,1523,1082,617,24.983192861576722,23.975331779382795,25.51398724584104,26.540166774716372,0.9925512104283054,0.0074487895716946,0.0,0.9848982271831911,0.015101772816808929,0.0,0.9990757855822551,0.0009242144177449168,0.0,1.0,0.0,0.0
H56_25_capilares_G20_Rep_1,H56,G20,25,15.9731,16.4378,2841,1355,830,656,4.531235198873629,3.3557301845018492,5.590135783132529,5.619530640243903,0.16719464977120732,0.5219992960225273,0.3108060542062654,0.11512915129151291,0.555719557195572,0.3291512915129151,0.21566265060240963,0.44457831325301206,0.3397590361445783,0.21341463414634146,0.5503048780487805,0.23628048780487804
H55_300_capilares_G20_Rep_1,H55,G20,300,28.8523,29.0012,2084,1168,642,274,23.633161564299435,22.104659417808193,25.526012461059185,25.71374635036497,0.989443378119002,0.01055662188099808,0.0,0.9828767123287672,0.017123287671232876,0.0,0.9984423676012462,0.001557632398753894,0.0,0.9963503649635036,0.0036496350364963502,0.0
H54_100_capilares_G20_Rep_1,H54,G20,100,23.891,24.3953,3516,2209,961,346,9.042719141069409,7.7146288365776465,11.091578668054115,11.83115115606937,0.37542662116040953,0.5511945392491467,0.07337883959044368,0.3051154368492531,0.6197374377546401,0.07514712539610684,0.4921956295525494,0.4308012486992716,0.07700312174817898,0.5,0.4479768786127168,0.05202312138728324
H55_100_capilares_G20_Rep_1,H55,G20,100,25.3881,25.8539,2084,1168,642,274,12.355919481765842,9.998915667808213,15.137623987538927,15.885577007299265,0.5748560460652591,0.41410748560460653,0.011036468330134356,0.4571917808219178,0.5316780821917808,0.01113013698630137,0.7165109034267912,0.27102803738317754,0.012461059190031152,0.7445255474452555,0.24817518248175183,0.0072992700729927005
H51_300_capilares_G6_Rep_1,H51,G6,300,29.82,29.8505,583,316,148,119,28.189055574614095,27.781803797468335,28.669416216216195,28.673073949579834,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H52_200_capilares_G20_Rep_1,H52,G20,200,27.012,27.2529,2252,1461,427,364,16.96330879218474,14.856906844626948,21.138240281030455,20.520334890109886,0.7406749555950266,0.2566607460035524,0.0026642984014209592,0.6563997262149213,0.3401779603011636,0.0034223134839151265,0.892271662763466,0.10772833723653395,0.0,0.9010989010989011,0.09615384615384616,0.0027472527472527475
H56_200_capilares_G6_Rep_1,H56,G6,200,28.9938,29.061,2841,1355,830,656,26.39118866596264,25.29442856088556,27.42043120481932,27.35435731707315,0.9982400563181978,0.0017599436818021823,0.0,0.996309963099631,0.0036900369003690036,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H52_50_capilares_G20_Rep_1,H52,G20,50,20.7348,21.2825,2252,1461,427,364,4.955006349911191,3.938843121149899,7.459203044496483,6.096002197802203,0.18561278863232683,0.6061278863232682,0.20825932504440497,0.1327857631759069,0.6331279945242985,0.23408624229979466,0.31381733021077285,0.550351288056206,0.1358313817330211,0.24725274725274726,0.5631868131868132,0.18956043956043955
H54_25_capilares_G6_Rep_1,H54,G6,25,17.3043,17.8447,3516,2209,961,346,3.4319091581342485,3.205911453146225,3.482229864724249,4.735003757225432,0.13111490329920364,0.39505119453924914,0.4738339021615472,0.12494341330918968,0.3775464010864645,0.49751018560434584,0.12174817898022892,0.4162330905306972,0.4620187304890739,0.19653179190751446,0.4479768786127168,0.3554913294797688
H55_5_capilares_G6_Rep_1,H55,G6,5,9.1197,9.4809,2084,1168,642,274,0.9408236564299408,0.8350924657534243,1.1433012461059193,0.9171135036496351,0.02927063339731286,0.21689059500959693,0.7538387715930902,0.0273972602739726,0.19863013698630136,0.773972602739726,0.03115264797507788,0.26635514018691586,0.7024922118380063,0.032846715328467155,0.17883211678832117,0.7883211678832117
H51_25_capilares_G6_Rep_1,H51,G6,25,24.5363,24.8616,583,316,148,119,12.463467753001709,11.825087025316458,12.87365743243244,13.648511764705885,0.5780445969125214,0.4202401372212693,0.0017152658662092624,0.5506329113924051,0.44936708860759494,0.0,0.6013513513513513,0.3918918918918919,0.006756756756756757,0.6218487394957983,0.37815126050420167,0.0
H55_25_capilares_G20_Rep_1,H55,G20,25,18.3745,19.0093,2084,1168,642,274,3.2349775911708307,2.337753510273972,3.864337538940809,5.585009124087594,0.1118042226487524,0.536468330134357,0.3517274472168906,0.0625,0.547945205479452,0.3895547945205479,0.14797507788161993,0.5280373831775701,0.32398753894080995,0.23722627737226276,0.5072992700729927,0.25547445255474455
H56_50_capilares_G20_Rep_1,H56,G20,50,21.2292,21.7708,2841,1355,830,656,7.536844104188663,6.525906199261978,8.547845903614451,8.345821798780497,0.29320661738824355,0.5417106652587117,0.1650827173530447,0.24206642066420664,0.5867158671586716,0.17121771217712178,0.3481927710843373,0.4963855421686747,0.15542168674698795,0.32926829268292684,0.5060975609756098,0.16463414634146342
H52_50_capilares_G6_Rep_1,H52,G6,50,22.3981,22.8843,2252,1461,427,364,8.54218583481351,7.38904271047229,11.142691100702574,10.120005494505492,0.3716696269982238,0.5142095914742452,0.11412078152753108,0.3059548254620123,0.5633127994524298,0.13073237508555785,0.5175644028103045,0.4028103044496487,0.07962529274004684,0.4642857142857143,0.4478021978021978,0.08791208791208792
H54_200_capilares_G6_Rep_1,H54,G6,200,28.0951,28.273,3516,2209,961,346,21.861693828213852,21.26439895880485,22.62254536940685,23.56182687861273,0.939419795221843,0.060580204778156996,0.0,0.9311905839746492,0.06880941602535083,0.0,0.951092611862643,0.04890738813735692,0.0,0.9595375722543352,0.04046242774566474,0.0
H55_50_capilares_G6_Rep_1,H55,G6,50,23.774,24.1984,2084,1168,642,274,12.732810076775406,11.284094691780824,14.52613426791277,14.706479562043802,0.6026871401151631,0.3642034548944338,0.033109404990403074,0.535958904109589,0.4220890410958904,0.04195205479452055,0.6884735202492211,0.2850467289719626,0.0264797507788162,0.6861313868613139,0.3029197080291971,0.010948905109489052
H53_100_capilares_G20_Rep_1,H53,G20,100,23.8492,24.3476,3222,1523,1082,617,8.183509559279962,6.325386736703872,9.324253419593338,10.769629821717993,0.35226567349472376,0.5288640595903166,0.11887026691495965,0.24556795797767564,0.6250820748522653,0.1293499671700591,0.42513863216266173,0.4491682070240296,0.1256931608133087,0.4878444084278768,0.43111831442463533,0.08103727714748785
H54_50_capilares_G20_Rep_1,H54,G20,50,16.4817,17.0376,3516,2209,961,346,2.1909093287827113,1.9631324128565024,2.401174089490114,3.0611254335260107,0.06968145620022753,0.3853811149032992,0.5449374288964732,0.06201901312811227,0.37301946582163875,0.564961521050249,0.07700312174817898,0.3839750260145682,0.5390218522372529,0.09826589595375723,0.4682080924855491,0.43352601156069365
H51_100_capilares_G20_Rep_1,H51,G20,100,27.7931,27.9645,583,316,148,119,18.708894511149218,15.96762088607596,22.067832432432446,21.810740336134447,0.8078902229845626,0.19210977701543738,0.0,0.7025316455696202,0.2974683544303797,0.0,0.9256756756756757,0.07432432432432433,0.0,0.9411764705882353,0.058823529411764705,0.0
H51_5_capilares_G20_Rep_1,H51,G20,5,11.0663,11.3222,583,316,148,119,1.6639530017152657,1.4621253164556964,2.7588587837837846,0.8381672268907563,0.05660377358490566,0.3259005145797599,0.6174957118353345,0.04746835443037975,0.370253164556962,0.5822784810126582,0.10135135135135136,0.35135135135135137,0.5472972972972973,0.025210084033613446,0.17647058823529413,0.7983193277310925
